"","file","Well","Sample description 1","Sample description 2","Sample description 3","Sample description 4","Target","Conc(copies/µL)","Molecular Weight(pg/µL)","Status","Status Reason","Experiment","SampleType","TargetType","Supermix","DyeName(s)","Copies/20µLWell","TotalConfMax","TotalConfMin","PoissonConfMax","PoissonConfMin","Accepted Droplets","Positives","Negatives","Ch1+Ch2+","Ch1+Ch2-","Ch1-Ch2+","Ch1-Ch2-","Linkage","CNV","TotalCNVMax","TotalCNVMin","PoissonCNVMax","PoissonCNVMin","ReferenceCopies","UnknownCopies","Threshold1","Threshold2","Threshold3","ThresholdSigmaAbove","ThresholdSigmaBelow","ReferenceUsed","Ratio","TotalRatioMax","TotalRatioMin","PoissonRatioMax","PoissonRatioMin","Fractional Abundance","TotalFractionalAbundanceMax","TotalFractionalAbundanceMin","PoissonFractionalAbundanceMax","PoissonFractionalAbundanceMin","MeanAmplitudeOfPositives","MeanAmplitudeOfNegatives","MeanAmplitudeTotal","ExperimentComments","MergedWells","TotalConfidenceMax68","TotalConfidenceMin68","PoissonConfidenceMax68","PoissonConfidenceMin68","TotalCNVMax68","TotalCNVMin68","PoissonCNVMax68","PoissonCNVMin68","TotalRatioMax68","TotalRatioMin68","PoissonRatioMax68","PoissonRatioMin68","TotalFractionalAbundanceMax68","TotalFractionalAbundanceMin68","PoissonFractionalAbundanceMax68","PoissonFractionalAbundanceMin68","TiltCorrected","ddpcrNo","smpldscr01","smpldscr02","smpldscr03","smpldscr04","WellNumber","conc.copies.per.uL","column_label","WellName","WellType","Fprimer","Rprimer","Stnd_dil lvl","Templvol","watervol_pr_well","Fprimer_conc","Rprimer_conc","Probe_conc","Tube_No","flNm","WellNm02","unq_fltNmb","...1","Filt.Rnd","Filt.mbr.pore","Filt.Type","Biol.Rpl.nr","unkFilt.nr","Filtreret.volume..mL.","dato.for.filtrering","Tidspnkt.start.filt","Tidspnkt.slut.filt","Tidspnkt.Filt.indfrosset","Cartridge.nummer.I.manifold","Manifold.og.pumpe.nummer","Notat","ESXNR","subESXNr","ekstraktionsudbytte_vol_fra_filter_mL","ekstraktionsdato","konc_ng_per_uL","Note_til_ekstraktion","vol_ATL_buffer_uL","vol_proteinaseK_uL","vol_AL_buffer_uL","vol_96EtOH_uL","vol_AE_buffer_for_elutering_uL","fltvol.mL","flttim.end","flttim.sta","dt.f.filt","flttim.sta_hh","flttim.sta_mm","flttim.sta_hh_mm","flttim.end_hh","flttim.end_mm","flttim.end_hh_mm","fltm_end","fltm_sta","diff.time","extrvl_mL","extrconc_ngpuL","volATL_uL","volPK_uL","dt.f.extr","diff.dt.fil.extr","mlpermin","vlf.extrc","vly.rt","filt.smpltp","filt.psz","filt.mbr","extrconc_ngpuL_Pfltvol.L","covl","tmflt_end","tmflt_frz","tm.btw_fil_freez","filt.pszc","ddpcr_copies_uL","ddpcr_copies_uL_per_L","prv.type"
"1","swk_ddpcr0068_rundate20250308_20250308_092826_744_measure_conc_on_filters_Cluhar_dil1to1.csv","A01","std10E4",NA,NA,NA,"Cluhar","4543.7744140625",NA,"Manual","Droplets Analyzed Manually","DQ","PosCtrl","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","90875.484375",NA,NA,"4667.5693359375","4431.77490234375","17934","17557","377","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"9139",NA,NA,"8.17902256744993","17.2652137424239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12326.8462580697","5921.70248906872","12192.2003786834",NA,NA,NA,NA,"4605.30712890625","4485.30126953125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0068","std10E4","voltempl_10uL","1E4","Cluhar","A01",4543.7744140625,"1","std_10E4_Cluhar","standard","Cluhar_CYBF14928","Cluhar_CYBR15013","4","10","0","0.20000000000000001","1","0.20000000000000001","1","setup_ddpcr0068_Cluhar_dil1to1_20250308.xls","STD","STD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4543.7744140625,NA,NA
"2","swk_ddpcr0068_rundate20250308_20250308_092826_744_measure_conc_on_filters_Cluhar_dil1to1.csv","A02","smpl",NA,NA,NA,"Cluhar","1.5610226392746",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","31.2204532623291",NA,NA,"2.2434196472168","1.03358566761017","19608","26","19582","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"9139",NA,NA,"0.989204282608077","13.1934987521345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11841.2573617788","6983.7374057499","6990.17842568343",NA,NA,NA,NA,"1.88699734210968","1.27502048015594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0068","smpl","voltempl_10uL",NA,"Cluhar","A02",1.5610226392746,"1","1","unknown","Cluhar_CYBF14928","Cluhar_CYBR15013",NA,"10","0","0.20000000000000001","1","0.20000000000000001","9","setup_ddpcr0068_Cluhar_dil1to1_20250308.xls","001","001",1,"Rnd01","STX_0.22","CPS",1,"1",5000,"2024-jul-16",1101,1417,1437,NA,1,NA,35,1,0.7,"2024-aug-28",13.8,NA,720,80,400,400,200,5000,1417,1101,2024-07-16,11,"01","2024-07-16 11:01",14,"17","2024-07-16 14:17",2024-07-16 14:17:00,2024-07-16 11:01:00,196,0.7,13.8,720,80,2024-08-28,43,25.5102040816327,800,0.875,"smpl",0.22,"STX",2.76,2760,2024-07-16 14:17:00,2024-07-16 14:37:00,20,"0.22",1.5610226392746,0.31220452785492,"akvarie"
"3","swk_ddpcr0068_rundate20250308_20250308_092826_744_measure_conc_on_filters_Cluhar_dil1to1.csv","A03","smpl",NA,NA,NA,"Cluhar","0.37179097533226",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","7.43581962585449",NA,NA,"0.760066151618958","0.145604133605957","18989","6","18983","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"9139",NA,NA,"1.00150356734846","15.5706365133364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17548.7418619792","6621.08874752863","6624.54158436504",NA,NA,NA,NA,"0.546573340892792","0.238986149430275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0068","smpl","voltempl_10uL",NA,"Cluhar","A03",0.37179097533226,"1","121","unknown","Cluhar_CYBF14928","Cluhar_CYBR15013",NA,"10","0","0.20000000000000001","1","0.20000000000000001","17","setup_ddpcr0068_Cluhar_dil1to1_20250308.xls","121","121",9,"Rnd04","STX_0.45","CPS",1,"121",5000,"2024-jul-18",1136,1457,1514,NA,1,NA,35,9,0.7,"2024-aug-28",13.8,NA,720,80,400,400,200,5000,1457,1136,2024-07-18,11,"36","2024-07-18 11:36",14,"57","2024-07-18 14:57",2024-07-18 14:57:00,2024-07-18 11:36:00,201,0.7,13.8,720,80,2024-08-28,41,24.8756218905473,800,0.875,"smpl",0.45,"STX",2.76,2760,2024-07-18 14:57:00,2024-07-18 15:14:00,17,"0.45",0.37179097533226,0.074358195066452,"akvarie"
"4","swk_ddpcr0068_rundate20250308_20250308_092826_744_measure_conc_on_filters_Cluhar_dil1to1.csv","A04","smpl",NA,NA,NA,"Cluhar","0.722506582736969",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","14.4501314163208",NA,NA,"1.24239456653595","0.373020708560944","17917","11","17906","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"9139",NA,NA,"1.06443905201176","16.1259592460776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12934.0636541193","6250.23397717049","6254.33746137245",NA,NA,NA,NA,"0.963462650775909","0.525546669960022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0068","smpl","voltempl_10uL",NA,"Cluhar","A04",0.722506582736969,"1","161","unknown","Cluhar_CYBF14928","Cluhar_CYBR15013",NA,"10","0","0.20000000000000001","1","0.20000000000000001","25","setup_ddpcr0068_Cluhar_dil1to1_20250308.xls","161","161",17,"Rnd05","STX_0.22NK","CPS",1,"161",5000,"2024-jul-30",1055,1432,1453,NA,1,NA,35,17,0.6,"2024-aug-28",3.72,NA,720,80,400,400,200,5000,1432,1055,2024-07-30,10,"55","2024-07-30 10:55",14,"32","2024-07-30 14:32",2024-07-30 14:32:00,2024-07-30 10:55:00,217,0.6,3.72,720,80,2024-08-28,29,23.0414746543779,800,0.75,"NK",0.22,"STX",0.744,744,2024-07-30 14:32:00,2024-07-30 14:53:00,21,"0.22",0.722506582736969,0.144501316547394,"NK"
"5","swk_ddpcr0068_rundate20250308_20250308_092826_744_measure_conc_on_filters_Cluhar_dil1to1.csv","A05","smpl",NA,NA,NA,"Cluhar","1.15384256839752",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","23.0768508911133",NA,NA,"1.77572000026703","0.697618961334229","18362","18","18344","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"9139",NA,NA,"1.14200375327791","15.3799594087024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14123.1689453125","6631.8901666108","6639.23375761487",NA,NA,NA,NA,"1.44754791259766","0.902913749217987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0068","smpl","voltempl_10uL",NA,"Cluhar","A05",1.15384256839752,"1","129","unknown","Cluhar_CYBF14928","Cluhar_CYBR15013",NA,"10","0","0.20000000000000001","1","0.20000000000000001","33","setup_ddpcr0068_Cluhar_dil1to1_20250308.xls","129","129",25,"Rnd04","PSE_0.45","DIS",1,"129",6500,"2024-jul-19",1020,1141,1150,1,2,NA,36,1,1.4,"2024-aug-29",15.4,NA,1440,160,800,800,200,6500,1141,1020,2024-07-19,10,"20","2024-07-19 10:20",11,"41","2024-07-19 11:41",2024-07-19 11:41:00,2024-07-19 10:20:00,81,1.4,15.4,1440,160,2024-08-29,41,80.2469135802469,1600,0.875,"smpl",0.45,"PSE",2.36923076923077,2369.23076923077,2024-07-19 11:41:00,2024-07-19 11:50:00,9,"0.45",1.15384256839752,0.177514241291926,"akvarie"
"6","swk_ddpcr0068_rundate20250308_20250308_092826_744_measure_conc_on_filters_Cluhar_dil1to1.csv","A06","smpl",NA,NA,NA,"Cluhar","1.00253140926361",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","20.0506286621094",NA,NA,"1.56101703643799","0.596521198749542","19958","17","19941","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"9139",NA,NA,"0.94852906049759","17.7962398304076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12120.9808134191","6358.63489273337","6363.54319419903",NA,NA,NA,NA,"1.26574909687042","0.778656959533691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0068","smpl","voltempl_10uL",NA,"Cluhar","A06",1.00253140926361,"1","137","unknown","Cluhar_CYBF14928","Cluhar_CYBR15013",NA,"10","0","0.20000000000000001","1","0.20000000000000001","41","setup_ddpcr0068_Cluhar_dil1to1_20250308.xls","137","137",33,"Rnd04","PSE_0.45","DIS",9,"137",4900,"2024-jul-19",1020,1452,1505,5,2,NA,36,9,1.5,"2024-aug-29",14.2,NA,1440,160,800,800,200,4900,1452,1020,2024-07-19,10,"20","2024-07-19 10:20",14,"52","2024-07-19 14:52",2024-07-19 14:52:00,2024-07-19 10:20:00,272,1.5,14.2,1440,160,2024-08-29,41,18.0147058823529,1600,0.9375,"smpl",0.45,"PSE",2.89795918367347,2897.95918367347,2024-07-19 14:52:00,2024-07-19 15:05:00,13,"0.45",1.00253140926361,0.204598246788492,"akvarie"
"7","swk_ddpcr0068_rundate20250308_20250308_092826_744_measure_conc_on_filters_Cluhar_dil1to1.csv","A07","smpl",NA,NA,NA,"Cluhar","0.47469437122345",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","9.49388694763184",NA,NA,"0.88896232843399","0.214894145727158","19831","8","19823","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"9139",NA,NA,"1.1399372418392","16.1197233906583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15691.5631103516","6470.70116818019","6474.42094507179",NA,NA,NA,NA,"0.663972795009613","0.325382322072983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0068","smpl","voltempl_10uL",NA,"Cluhar","A07",0.47469437122345,"1","168","unknown","Cluhar_CYBF14928","Cluhar_CYBR15013",NA,"10","0","0.20000000000000001","1","0.20000000000000001","49","setup_ddpcr0068_Cluhar_dil1to1_20250308.xls","168","168",41,"Rnd05","PLC_0.22NK","DIS",4,"168",5000,"2024-jul-30",1305,2030,2047,2,2,NA,36,17,1.5,"2024-aug-29",4.69,NA,1440,160,800,800,200,5000,2030,1305,2024-07-30,13,"05","2024-07-30 13:05",20,"30","2024-07-30 20:30",2024-07-30 20:30:00,2024-07-30 13:05:00,445,1.5,4.69,1440,160,2024-08-29,30,11.2359550561798,1600,0.9375,"NK",0.22,"PLC",0.938,938,2024-07-30 20:30:00,2024-07-30 20:47:00,17,"0.22",0.47469437122345,0.09493887424469,"NK"
"8","swk_ddpcr0068_rundate20250308_20250308_092826_744_measure_conc_on_filters_Cluhar_dil1to1.csv","A08","smpl",NA,NA,NA,"Cluhar","0.13084252178669",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","2.61685037612915",NA,NA,"0.419139981269836","0.0198217071592808","17984","2","17982","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"9139",NA,NA,"2.09193630341505","16.0341778471571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16954.931640625","6380.70014046164","6381.87610037047",NA,NA,NA,NA,"0.251557677984238","0.0567838661372662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0068","smpl","voltempl_10uL",NA,"Cluhar","A08",0.13084252178669,"1","200","unknown","Cluhar_CYBF14928","Cluhar_CYBR15013",NA,"10","0","0.20000000000000001","1","0.20000000000000001","57","setup_ddpcr0068_Cluhar_dil1to1_20250308.xls","200","200",49,"Rnd05","PLC_3.00NK","DIS",4,"200",5000,"2024-jul-30",1755,1938,1945,8,3,NA,36,25,1.4,"2024-aug-29",0.675,NA,1440,160,800,800,200,5000,1938,1755,2024-07-30,17,"55","2024-07-30 17:55",19,"38","2024-07-30 19:38",2024-07-30 19:38:00,2024-07-30 17:55:00,103,1.4,0.675,1440,160,2024-08-29,30,48.5436893203884,1600,0.875,"NK",3,"PLC",0.135,135,2024-07-30 19:38:00,2024-07-30 19:45:00,7,"3",0.13084252178669,0.026168504357338,"NK"
"9","swk_ddpcr0068_rundate20250308_20250308_092826_744_measure_conc_on_filters_Cluhar_dil1to1.csv","A09","smpl",NA,NA,NA,"Cluhar","0.62734454870224",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","12.5468912124634",NA,NA,"1.0787261724472","0.323896110057831","20634","11","20623","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"9139",NA,NA,"1.81586997446722","18.041018702048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12026.1783558239","6185.88828634993","6189.00174911838",NA,NA,NA,NA,"0.836552739143372","0.456331461668015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0068","smpl","voltempl_10uL",NA,"Cluhar","A09",0.62734454870224,"1","55","unknown","Cluhar_CYBF14928","Cluhar_CYBR15013",NA,"10","0","0.20000000000000001","1","0.20000000000000001","65","setup_ddpcr0068_Cluhar_dil1to1_20250308.xls","055","055",57,"Rnd02","PLC_0.80","DIS",7,"55",5500,"2024-jul-17",1048,1559,1614,4,2,NA,37,7,1.4,"2024-sep-04",12.6,NA,1440,160,800,800,200,5500,1559,1048,2024-07-17,10,"48","2024-07-17 10:48",15,"59","2024-07-17 15:59",2024-07-17 15:59:00,2024-07-17 10:48:00,311,1.4,12.6,1440,160,2024-09-04,49,17.6848874598071,1600,0.875,"smpl",0.8,"PLC",2.29090909090909,2290.90909090909,2024-07-17 15:59:00,2024-07-17 16:14:00,15,"0.8",0.62734454870224,0.114062645218589,"akvarie"
"10","swk_ddpcr0068_rundate20250308_20250308_092826_744_measure_conc_on_filters_Cluhar_dil1to1.csv","A10","smpl",NA,NA,NA,"Cluhar","0.572937846183777",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM","11.4587574005127",NA,NA,"1.00935995578766","0.285230904817581","20539","10","20529","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"9139",NA,NA,"1.04444560964124","20.5852902925825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14214.2067382812","6082.53471870205","6086.49385596267",NA,NA,NA,NA,"0.774391829967499","0.409908652305603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","ddpcr0068","smpl","voltempl_10uL",NA,"Cluhar","A10",0.572937846183777,"1","63","unknown","Cluhar_CYBF14928","Cluhar_CYBR15013",NA,"10","0","0.20000000000000001","1","0.20000000000000001","73","setup_ddpcr0068_Cluhar_dil1to1_20250308.xls","063","063",65,"Rnd02","PLC_0.80","DIS",15,"63",5000,"2024-jul-17",1048,1701,1750,8,2,NA,37,15,1.4,"2024-sep-04",15.2,NA,1440,160,800,800,200,5000,1701,1048,2024-07-17,10,"48","2024-07-17 10:48",17,"01","2024-07-17 17:01",2024-07-17 17:01:00,2024-07-17 10:48:00,373,1.4,15.2,1440,160,2024-09-04,49,13.4048257372654,1600,0.875,"smpl",0.8,"PLC",3.04,3040,2024-07-17 17:01:00,2024-07-17 17:50:00,49,"0.8",0.572937846183777,0.114587569236755,"akvarie"
